iter	Passed	Remaining
0	120	120574
1	125	62571
2	129	43199
3	133	33273
4	138	27559
5	142	23615
6	146	20752
7	150	18646
8	154	16991
9	157	15603
10	161	14513
11	165	13612
12	169	12848
13	172	12157
14	176	11577
15	180	11079
16	183	10631
17	186	10198
18	190	9841
19	194	9523
20	197	9213
21	201	8947
22	205	8724
23	208	8494
24	211	8257
25	215	8072
26	219	7907
27	223	7741
28	226	7593
29	230	7459
30	234	7343
31	238	7220
32	242	7101
33	245	6987
34	249	6878
35	253	6777
36	256	6683
37	260	6592
38	264	6511
39	267	6427
40	271	6352
41	275	6280
42	278	6203
43	282	6136
44	286	6072
45	289	6006
46	293	5945
47	297	5891
48	300	5837
49	304	5784
50	308	5744
51	312	5694
52	315	5645
53	319	5598
54	323	5557
55	327	5519
56	331	5479
57	335	5443
58	338	5403
59	342	5365
60	346	5333
61	350	5302
62	354	5268
63	358	5236
64	361	5207
65	365	5177
66	369	5141
67	373	5113
68	376	5085
69	380	5057
70	384	5028
71	387	4995
72	391	4972
73	395	4946
74	399	4923
75	402	4896
76	405	4861
77	408	4830
78	412	4814
79	416	4793
80	420	4770
81	424	4750
82	427	4727
83	431	4704
84	435	4684
85	439	4666
86	442	4647
87	446	4626
88	450	4612
89	454	4596
90	458	4582
91	462	4568
92	466	4548
93	470	4530
94	473	4515
95	477	4499
96	481	4478
97	484	4461
98	488	4442
99	491	4426
100	495	4410
101	498	4393
102	502	4377
103	506	4362
104	510	4349
105	514	4336
106	517	4320
107	521	4303
108	524	4288
109	529	4280
110	533	4270
111	537	4259
112	540	4245
113	544	4233
114	548	4220
115	551	4205
116	555	4195
117	559	4182
118	563	4169
119	567	4159
120	570	4146
121	574	4133
122	577	4120
123	581	4110
124	585	4099
125	589	4087
126	593	4078
127	597	4067
128	600	4056
129	604	4046
130	608	4035
131	611	4024
132	615	4012
133	619	4003
134	623	3996
135	627	3988
136	632	3981
137	635	3970
138	639	3958
139	642	3948
140	646	3939
141	650	3932
142	654	3922
143	658	3914
144	662	3904
145	665	3893
146	669	3883
147	672	3873
148	676	3863
149	680	3855
150	684	3847
151	688	3841
152	692	3831
153	695	3822
154	699	3813
155	703	3803
156	706	3795
157	710	3788
158	714	3779
159	718	3771
160	722	3763
161	726	3756
162	730	3748
163	733	3740
164	737	3732
165	741	3723
166	744	3715
167	748	3707
168	752	3699
169	756	3691
170	759	3683
171	763	3673
172	766	3665
173	770	3656
174	774	3650
175	778	3643
176	781	3635
177	785	3628
178	789	3620
179	793	3613
180	796	3603
181	800	3597
182	804	3590
183	807	3582
184	811	3575
185	815	3568
186	819	3560
187	822	3554
188	826	3548
189	830	3540
190	834	3534
191	838	3528
192	842	3521
193	846	3517
194	850	3510
195	854	3505
196	858	3497
197	861	3490
198	865	3485
199	869	3478
200	874	3474
201	879	3473
202	883	3470
203	888	3466
204	893	3463
205	897	3458
206	901	3452
207	906	3450
208	909	3441
209	912	3434
210	916	3426
211	920	3422
212	924	3415
213	928	3410
214	932	3405
215	936	3399
216	940	3394
217	944	3387
218	948	3382
219	952	3378
220	958	3376
221	961	3370
222	964	3361
223	969	3358
224	972	3351
225	976	3345
226	980	3339
227	984	3333
228	988	3327
229	991	3319
230	995	3313
231	999	3307
232	1002	3300
233	1006	3294
234	1010	3288
235	1013	3282
236	1017	3274
237	1020	3266
238	1023	3260
239	1027	3254
240	1031	3247
241	1035	3242
242	1038	3236
243	1042	3229
244	1045	3223
245	1049	3216
246	1053	3210
247	1056	3204
248	1060	3198
249	1063	3191
250	1067	3185
251	1071	3180
252	1075	3174
253	1078	3167
254	1081	3160
255	1086	3156
256	1090	3151
257	1093	3145
258	1097	3140
259	1101	3135
260	1104	3128
261	1108	3122
262	1112	3116
263	1116	3111
